Greenseeker1_NDVI1,Greenseeker1_NDVI2,Greenseeker2_NDVI1,Greenseeker2_NDVI2
0.69,0.71,0.64,0.65
0.71,0.72,0.69,0.68
0.72,0.73,0.69,0.69
0.75,0.78,0.72,0.72
0.78,0.78,0.75,0.75
0.77,0.79,0.74,0.72
0.69,0.72,0.68,0.65
0.70,0.71,0.68,0.66
0.70,0.70,0.65,0.66
0.68,0.68,0.64,0.65
0.69,0.73,0.66,0.65
0.70,0.71,0.63,0.62
0.71,0.74,0.65,0.69
0.73,0.73,0.70,0.67
0.76,0.76,0.72,0.71
0.69,0.72,0.65,0.66
0.69,0.67,0.64,0.63
0.68,0.69,0.64,0.62
0.70,0.68,0.64,0.62
0.70,0.70,0.64,0.64
0.70,0.69,0.66,0.64
0.74,0.73,0.72,0.71
0.76,0.74,0.73,0.73
0.78,0.77,0.72,0.72
0.73,0.76,0.68,0.70
0.74,0.71,0.71,0.72
0.76,0.74,0.69,0.63
0.73,0.75,0.69,0.69
0.64,0.68,0.70,0.68
0.66,0.69,0.68,0.64
0.72,0.73,0.66,0.66
0.71,0.72,0.66,0.67
0.71,0.72,0.64,0.63
0.69,0.73,0.63,0.66
0.69,0.76,0.69,0.68
0.79,0.76,0.70,0.72
0.74,0.71,0.68,0.67
0.71,0.74,0.67,0.69
0.71,0.72,0.68,0.68
0.70,0.73,0.64,0.66
0.70,0.71,0.65,0.66
0.70,0.70,0.62,0.64
0.72,0.75,0.67,0.68
0.74,0.76,0.68,0.69
0.75,0.76,0.71,0.70
0.68,0.70,0.66,0.65
0.70,0.68,0.65,0.67
0.69,0.67,0.65,0.65
0.67,0.71,0.67,0.67
0.67,0.70,0.68,0.63
0.64,0.70,0.66,0.62
0.72,0.72,0.66,0.66
0.72,0.71,0.66,0.66
0.76,0.78,0.73,0.70
0.70,0.68,0.63,0.64
0.73,0.73,0.69,0.67
0.72,0.72,0.68,0.67
0.68,0.68,0.66,0.65
0.76,0.77,0.73,0.73
0.77,0.77,0.72,0.74
0.78,0.77,0.75,0.74
0.77,0.77,0.77,0.75
0.76,0.75,0.74,0.75
0.75,0.77,0.76,0.74
0.77,0.76,0.74,0.73
0.73,0.76,0.73,0.70
0.66,0.69,0.65,0.66
0.70,0.68,0.69,0.67
0.70,0.69,0.71,0.69
0.79,0.79,0.76,0.77
0.78,0.78,0.75,0.73
0.78,0.75,0.76,0.73
0.74,0.75,0.72,0.72
0.73,0.72,0.67,0.73
0.73,0.72,0.72,0.72
0.72,0.68,0.71,0.70
0.69,0.70,0.67,0.68
0.67,0.67,0.64,0.67
0.78,0.73,0.70,0.73
0.75,0.72,0.75,0.73
0.67,0.67,0.64,0.65
0.77,0.75,0.70,0.72
0.74,0.78,0.71,0.74
0.79,0.78,0.75,0.76
0.73,0.73,0.72,0.74
0.77,0.73,0.72,0.73
0.78,0.75,0.74,0.76
0.80,0.79,0.76,0.77
0.78,0.75,0.75,0.75
0.77,0.76,0.72,0.76
0.69,0.70,0.68,0.68
0.66,0.66,0.65,0.68
0.71,0.70,0.69,0.68
0.75,0.77,0.71,0.73
0.72,0.75,0.74,0.73
0.77,0.77,0.74,0.76
0.78,0.78,0.73,0.77
0.79,0.80,0.78,0.78
0.81,0.79,0.77,0.77
0.81,0.79,0.76,0.77
0.79,0.78,0.77,0.75
0.77,0.79,0.76,0.76
0.82,0.81,0.79,0.78
0.80,0.80,0.78,0.78
0.79,0.79,0.78,0.76
