site_year,exp_plot_number,block,plot,plot_id,N_level,tare1,fw1_plus_tare1,fw2_plus_tare1,ss_fw_plus_tare1,clean_grain_odw_plus_tare2,tare2,yc_clean_grain_odw_plus_tare_3,tare_3
Arbuckle-15,101,1,1,1,125,1224,5352,1224,1880,178.2,0,7.01,7.01
Arbuckle-15,102,1,2,2,225,1224,5418,1224,2170,242.7,0,7.01,7.01
Arbuckle-15,103,1,3,3,0,1224,4086,1224,1792,132.0,0,7.01,7.01
Arbuckle-15,104,1,4,4,75,1224,5512,1224,2180,265.9,0,7.01,7.01
Arbuckle-15,105,1,5,5,175,1224,5714,1224,2192,255.0,0,7.01,7.01
Arbuckle-15,201,2,1,6,0,1224,4714,1224,2100,250.6,0,7.01,7.01
Arbuckle-15,202,2,2,7,175,1224,5762,1224,2268,284.2,0,7.01,7.01
Arbuckle-15,203,2,3,8,125,1224,5726,1224,2220,254.3,0,7.01,7.01
Arbuckle-15,204,2,4,9,225,1224,5180,1224,2250,185.6,0,7.01,7.01
Arbuckle-15,205,2,5,10,75,1224,5502,1224,2118,256.0,0,7.01,7.01
Arbuckle-15,301,3,1,11,225,1224,5648,1224,2256,234.7,0,7.01,7.01
Arbuckle-15,302,3,2,12,125,1224,5284,1224,2188,286.7,0,7.01,7.01
Arbuckle-15,303,3,3,13,175,1224,5744,1224,2176,266.0,0,7.01,7.01
Arbuckle-15,304,3,4,14,75,1224,5718,1224,2286,301.0,0,7.01,7.01
Arbuckle-15,305,3,5,15,0,1224,4098,1224,2124,177.6,0,7.01,7.01
Arbuckle-15,401,4,1,16,75,1224,5284,1224,2108,258.7,0,7.01,7.01
Arbuckle-15,402,4,2,17,0,1224,4002,1224,1890,166.3,0,7.01,7.01
Arbuckle-15,403,4,3,18,225,1224,5950,1224,2278,218.6,0,7.01,7.01
Arbuckle-15,404,4,4,19,175,1224,4592,2856,2376,291.1,0,7.01,7.01
Arbuckle-15,405,4,5,20,125,1224,5942,1224,2200,240.1,0,7.01,7.01
RES-15,101,5,1,21,0,1222,3066,1222,1938,178.2,0,7.01,7.01
RES-15,102,5,2,22,75,1222,3798,1222,1928,242.7,0,7.01,7.01
RES-15,103,5,3,23,225,1222,4480,1222,2086,280.0,0,7.01,7.01
RES-15,104,5,4,24,125,1222,5290,1222,2166,269.2,0,7.01,7.01
RES-15,105,5,5,25,175,1222,5828,1222,2236,272.9,0,7.01,7.01
RES-15,201,6,1,26,75,1222,4724,1222,2160,280.1,0,7.01,7.01
RES-15,202,6,2,27,125,1222,5434,1222,2192,260.3,0,7.01,7.01
RES-15,203,6,3,28,175,1222,5654,1222,2080,212.7,0,7.01,7.01
RES-15,204,6,4,29,225,1222,5388,1222,2178,252.8,0,7.01,7.01
RES-15,205,6,5,30,0,1222,4174,1222,1994,240.8,0,7.01,7.01
RES-15,301,7,1,31,125,1222,5222,1222,2172,272.5,0,7.01,7.01
RES-15,302,7,2,32,175,1222,5180,1222,2144,262.1,0,7.01,7.01
RES-15,303,7,3,33,0,1222,3582,1222,1906,213.4,0,7.01,7.01
RES-15,304,7,4,34,75,1222,4514,1222,1896,208.0,0,7.01,7.01
RES-15,305,7,5,35,225,1222,5524,1222,2142,240.5,0,7.01,7.01
RES-15,401,8,1,36,225,1222,5222,1222,1956,210.9,0,7.01,7.01
RES-15,402,8,2,37,175,1222,5314,1222,2104,241.3,0,7.01,7.01
RES-15,403,8,3,38,75,1222,5002,1222,2018,249.8,0,7.01,7.01
RES-15,404,8,4,39,0,1222,3650,1222,1934,232.8,0,7.01,7.01
RES-15,405,8,5,40,125,1222,4800,1222,2140,285.1,0,7.01,7.01
RES-16,101,9,1,41,225,1218,5978,1218,2286,292.09,7.92,7.01,7.01
RES-16,102,9,2,42,0,1218,3914,1218,1912,196.43,7.92,7.01,7.01
RES-16,103,9,3,43,175,1218,5652,1218,2228,279.22,7.92,7.01,7.01
RES-16,104,9,4,44,125,1220,5628,1220,2218,262.99,7.92,7.01,7.01
RES-16,105,9,5,45,75,1220,5158,1220,2252,275.54,7.92,7.01,7.01
RES-16,201,10,1,46,125,1218,5564,1218,2196,248.48,7.92,7.01,7.01
RES-16,202,10,2,47,75,1218,5030,1218,2228,275.00,7.92,7.01,7.01
RES-16,203,10,3,48,175,1218,5458,1218,2134,237.97,7.92,7.01,7.01
RES-16,204,10,4,49,225,1218,5630,1218,2220,300.10,7.92,7.01,7.01
RES-16,205,10,5,50,0,1218,3350,1218,1824,173.69,7.92,7.01,7.01
RES-16,301,11,1,51,175,1218,4664,1218,2002,238.89,7.92,7.01,7.01
RES-16,302,11,2,52,225,1218,5162,1218,2240,274.86,7.92,7.01,7.01
RES-16,303,11,3,53,125,1220,3994,3408,2304,261.90,7.92,7.01,7.01
RES-16,304,11,4,54,0,1218,3600,1218,1840,179.67,7.92,7.01,7.01
RES-16,305,11,5,55,75,1218,5404,1218,2094,230.57,7.92,7.01,7.01
RES-16,401,12,1,56,0,1218,3406,1218,1776,157.60,7.92,7.01,7.01
RES-16,402,12,2,57,75,1218,4332,1218,1932,195.27,7.92,7.01,7.01
RES-16,403,12,3,58,225,1218,5042,1218,2224,287.63,7.92,7.01,7.01
RES-16,404,12,4,59,175,1218,4610,1218,2040,250.92,7.92,7.01,7.01
RES-16,405,12,5,60,125,1220,4838,1220,1962,206.72,7.92,7.01,7.01
Davis-16,101,13,1,61,75,1220,5662,4610,3070,291.64,7.92,7.01,7.01
Davis-16,102,13,2,62,225,1220,5298,5438,3262,270.89,7.92,7.01,7.01
Davis-16,103,13,3,63,0,1220,5256,1220,2266,188.45,7.92,7.01,7.01
Davis-16,104,13,4,64,125,1220,4846,4278,2482,215.14,7.92,7.01,7.01
Davis-16,105,13,5,65,175,1220,5220,5156,2650,208.06,7.92,7.01,7.01
Davis-16,201,14,1,66,75,1220,4076,3370,2484,199.14,7.92,7.01,7.01
Davis-16,202,14,2,67,0,1220,5634,1220,2324,183.23,7.92,7.01,7.01
Davis-16,203,14,3,68,225,1220,4924,5436,3112,300.47,7.92,7.01,7.01
Davis-16,204,14,4,69,175,1220,4942,5220,3032,273,7.92,7.01,7.01
Davis-16,205,14,5,70,125,1220,4896,4166,2496,206.14,7.92,7.01,7.01
Davis-16,301,15,1,71,0,1220,4848,1220,1966,146.64,7.92,7.01,7.01
